,ML,Low_90,High_90,Low_50,High_50,state,district
217,1.43,0.86,2.09,1.22,1.73,Andhra Pradesh,Visakhapatnam
218,1.47,0.91,2.1,1.26,1.75,Andhra Pradesh,Visakhapatnam
219,1.49,0.93,2.07,1.28,1.75,Andhra Pradesh,Visakhapatnam
220,1.5,0.97,2.07,1.33,1.79,Andhra Pradesh,Visakhapatnam
221,1.5,0.99,2.05,1.32,1.76,Andhra Pradesh,Visakhapatnam
222,1.49,1.0,2.02,1.3,1.72,Andhra Pradesh,Visakhapatnam
223,1.48,1.02,2.0100000000000002,1.33,1.74,Andhra Pradesh,Visakhapatnam
224,3.0,1.01,6.99,2.04,4.45,Andhra Pradesh,West Godavari
225,1.8800000000000001,0.84,3.17,1.43,2.41,Andhra Pradesh,West Godavari
226,1.6500000000000001,0.8,2.65,1.34,2.12,Andhra Pradesh,West Godavari
227,1.58,0.8300000000000001,2.45,1.31,1.99,Andhra Pradesh,West Godavari
228,1.53,0.84,2.3000000000000003,1.28,1.8900000000000001,Andhra Pradesh,West Godavari
229,1.51,0.89,2.24,1.28,1.84,Andhra Pradesh,West Godavari
230,1.48,0.89,2.14,1.27,1.79,Andhra Pradesh,West Godavari
231,1.47,0.91,2.08,1.29,1.78,Andhra Pradesh,West Godavari
232,1.44,0.9,2.0,1.26,1.72,Andhra Pradesh,West Godavari
233,1.4000000000000001,0.91,1.96,1.21,1.6400000000000001,Andhra Pradesh,West Godavari
234,1.37,0.9,1.9000000000000001,1.18,1.59,Andhra Pradesh,West Godavari
235,1.35,0.89,1.85,1.2,1.6,Andhra Pradesh,West Godavari
236,1.31,0.85,1.77,1.1400000000000001,1.52,Andhra Pradesh,West Godavari
237,1.3,0.88,1.78,1.1400000000000001,1.51,Andhra Pradesh,West Godavari
238,1.28,0.86,1.73,1.1300000000000001,1.49,Andhra Pradesh,West Godavari
239,1.27,0.86,1.71,1.12,1.47,Andhra Pradesh,West Godavari
240,1.26,0.86,1.69,1.1,1.44,Andhra Pradesh,West Godavari
241,1.24,0.85,1.6600000000000001,1.12,1.46,Andhra Pradesh,West Godavari
242,1.23,0.86,1.6600000000000001,1.1,1.43,Andhra Pradesh,West Godavari
243,3.0,1.01,6.99,2.04,4.45,Andhra Pradesh,Y.S.R.
244,1.77,0.8,2.94,1.37,2.27,Andhra Pradesh,Y.S.R.
245,1.56,0.8,2.5,1.26,1.97,Andhra Pradesh,Y.S.R.
246,1.49,0.81,2.29,1.25,1.87,Andhra Pradesh,Y.S.R.
247,1.44,0.8200000000000001,2.15,1.18,1.73,Andhra Pradesh,Y.S.R.
248,1.41,0.8200000000000001,2.04,1.21,1.72,Andhra Pradesh,Y.S.R.
249,1.42,0.87,2.0100000000000002,1.2,1.67,Andhra Pradesh,Y.S.R.
250,1.3900000000000001,0.88,1.95,1.19,1.6300000000000001,Andhra Pradesh,Y.S.R.
251,1.3800000000000001,0.9,1.9100000000000001,1.22,1.6400000000000001,Andhra Pradesh,Y.S.R.
252,1.36,0.9,1.86,1.21,1.61,Andhra Pradesh,Y.S.R.
253,1.34,0.91,1.83,1.19,1.57,Andhra Pradesh,Y.S.R.
254,3.0,1.01,6.99,2.04,4.45,Andhra Pradesh,Y.S.R. Kadapa
255,1.57,0.77,2.5300000000000002,1.26,2.0,Andhra Pradesh,Y.S.R. Kadapa
256,1.3900000000000001,0.75,2.13,1.17,1.75,Andhra Pradesh,Y.S.R. Kadapa
257,1.31,0.75,1.94,1.12,1.62,Andhra Pradesh,Y.S.R. Kadapa
258,1.26,0.76,1.83,1.05,1.49,Andhra Pradesh,Y.S.R. Kadapa
259,1.23,0.75,1.73,1.07,1.48,Andhra Pradesh,Y.S.R. Kadapa
260,1.2,0.77,1.69,1.05,1.43,Andhra Pradesh,Y.S.R. Kadapa
261,3.0,1.01,6.99,2.04,4.45,Arunachal Pradesh,Lohit
262,2.87,1.02,6.29,1.95,4.11,Arunachal Pradesh,Lohit
263,2.77,0.96,5.78,1.96,3.96,Arunachal Pradesh,Lohit
264,2.69,0.98,5.49,1.93,3.81,Arunachal Pradesh,Lohit
265,2.62,0.97,5.24,1.93,3.72,Arunachal Pradesh,Lohit
266,2.5500000000000003,0.98,5.0600000000000005,1.87,3.58,Arunachal Pradesh,Lohit
267,2.5,0.97,4.89,1.79,3.43,Arunachal Pradesh,Lohit
268,2.44,0.9400000000000001,4.72,1.82,3.41,Arunachal Pradesh,Lohit
269,2.4,0.92,4.58,1.78,3.3200000000000003,Arunachal Pradesh,Lohit
270,2.36,0.93,4.49,1.78,3.2800000000000002,Arunachal Pradesh,Lohit
271,2.32,0.93,4.4,1.75,3.21,Arunachal Pradesh,Lohit
272,2.2800000000000002,0.89,4.2700000000000005,1.68,3.1,Arunachal Pradesh,Lohit
273,2.25,0.9,4.21,1.67,3.06,Arunachal Pradesh,Lohit
274,2.22,0.88,4.12,1.6400000000000001,3.0,Arunachal Pradesh,Lohit
275,2.19,0.88,4.0600000000000005,1.67,3.0100000000000002,Arunachal Pradesh,Lohit
276,2.17,0.86,3.98,1.61,2.92,Arunachal Pradesh,Lohit
277,2.14,0.87,3.94,1.62,2.91,Arunachal Pradesh,Lohit
278,2.12,0.85,3.87,1.61,2.88,Arunachal Pradesh,Lohit
279,2.1,0.8200000000000001,3.79,1.59,2.84,Arunachal Pradesh,Lohit
280,3.0,1.01,6.99,2.04,4.45,Assam,Bongaigaon
281,2.69,0.9500000000000001,5.45,1.94,3.8200000000000003,Assam,Bongaigaon
282,2.73,1.08,5.2,2.06,3.8000000000000003,Assam,Bongaigaon
283,2.5,1.03,4.62,1.83,3.34,Assam,Bongaigaon
284,2.34,0.96,4.21,1.74,3.11,Assam,Bongaigaon
285,2.37,1.0,4.1,1.82,3.13,Assam,Bongaigaon
286,2.23,1.0,3.87,1.74,2.95,Assam,Bongaigaon
287,2.13,0.97,3.66,1.6400000000000001,2.77,Assam,Bongaigaon
288,2.04,0.9,3.44,1.59,2.66,Assam,Bongaigaon
289,1.97,0.91,3.34,1.54,2.56,Assam,Bongaigaon
